2023-01-30T20:55:43.862661Z WARNING - Handle (485) - frame does not have 'dm lost frames' property.
2023-01-30T20:55:43.902960Z WARNING - Handle (485) - frame does not have 'dm lost frames' property.
2023-01-30T20:55:43.943257Z WARNING - Handle (485) - frame does not have 'dm lost frames' property.
2023-01-30T20:55:43.983583Z WARNING - Handle (485) - frame does not have 'dm lost frames' property.
2023-01-30T20:55:44.023871Z WARNING - Handle (485) - frame does not have 'dm lost frames' property.
2023-01-30T20:55:44.064205Z WARNING - Handle (485) - frame does not have 'dm lost frames' property.
2023-01-30T20:55:44.104538Z WARNING - Handle (485) - frame does not have 'dm lost frames' property.
2023-01-30T20:55:44.144847Z WARNING - Handle (485) - frame does not have 'dm lost frames' property.
2023-01-30T20:55:44.185174Z WARNING - Handle (485) - frame does not have 'dm lost frames' property.
2023-01-30T20:55:44.225556Z WARNING - Handle (485) - frame does not have 'dm lost frames' property.
2023-01-30T20:55:44.265778Z WARNING - Handle (485) - frame does not have 'dm lost frames' property.
2023-01-30T20:55:44.305984Z WARNING - Handle (485) - frame does not have 'dm lost frames' property.
2023-01-30T20:55:44.346347Z WARNING - Handle (485) - frame does not have 'dm lost frames' property.
2023-01-30T20:55:44.386658Z WARNING - Handle (485) - frame does not have 'dm lost frames' property.
2023-01-30T20:55:44.426855Z WARNING - Handle (485) - frame does not have 'dm lost frames' property.
2023-01-30T20:55:44.467196Z WARNING - Handle (485) - frame does not have 'dm lost frames' property.
2023-01-30T20:55:44.507545Z WARNING - Handle (485) - frame does not have 'dm lost frames' property.
2023-01-30T20:55:44.547841Z WARNING - Handle (485) - frame does not have 'dm lost frames' property.
2023-01-30T20:55:44.588136Z WARNING - Handle (485) - frame does not have 'dm lost frames' property.
2023-01-30T20:55:44.628520Z WARNING - Handle (485) - frame does not have 'dm lost frames' property.
2023-01-30T20:55:44.668780Z WARNING - Handle (485) - frame does not have 'dm lost frames' property.
2023-01-30T20:55:44.709025Z WARNING - Handle (485) - frame does not have 'dm lost frames' property.
2023-01-30T20:55:44.749363Z WARNING - Handle (485) - frame does not have 'dm lost frames' property.
2023-01-30T20:55:44.789689Z WARNING - Handle (485) - frame does not have 'dm lost frames' property.
2023-01-30T20:55:44.830096Z WARNING - Handle (485) - frame does not have 'dm lost frames' property.
2023-01-30T20:55:44.870367Z WARNING - Handle (485) - frame does not have 'dm lost frames' property.
2023-01-30T20:55:44.910894Z WARNING - Handle (485) - frame does not have 'dm lost frames' property.
2023-01-30T20:55:44.950913Z WARNING - Handle (485) - frame does not have 'dm lost frames' property.
2023-01-30T20:55:44.991213Z WARNING - Handle (485) - frame does not have 'dm lost frames' property.
2023-01-30T20:55:45.031966Z WARNING - Handle (485) - frame does not have 'dm lost frames' property.
2023-01-30T20:55:45.071922Z WARNING - Handle (485) - frame does not have 'dm lost frames' property.
