2023-03-31T12:49:48.271723Z WARNING - _SetConnectionParameters (361) - Cannot cast to local parameters.
2023-03-31T12:49:48.271730Z WARNING - Cannot cast to local parameters.
2023-03-31T12:49:55.942342Z WARNING - [virtual double ihspt::drivers::CM_XimeaXiq::_GetTemperature()] xiSetParamInt (_device, XI_PRM_TEMP_SELECTOR, XI_TEMP_IMAGE_SENSOR_DIE) : Not supported
2023-03-31T12:52:21.621478Z WARNING - Handle (485) - frame does not have 'dm lost frames' property.
2023-03-31T12:52:21.661862Z WARNING - Handle (485) - frame does not have 'dm lost frames' property.
2023-03-31T12:52:21.702163Z WARNING - Handle (485) - frame does not have 'dm lost frames' property.
2023-03-31T12:52:21.742364Z WARNING - Handle (485) - frame does not have 'dm lost frames' property.
2023-03-31T12:52:21.782731Z WARNING - Handle (485) - frame does not have 'dm lost frames' property.
2023-03-31T12:52:21.823013Z WARNING - Handle (485) - frame does not have 'dm lost frames' property.
2023-03-31T12:52:21.863090Z WARNING - Handle (485) - frame does not have 'dm lost frames' property.
2023-03-31T12:52:21.903955Z WARNING - Handle (485) - frame does not have 'dm lost frames' property.
2023-03-31T12:52:21.943771Z WARNING - Handle (485) - frame does not have 'dm lost frames' property.
2023-03-31T12:52:21.984181Z WARNING - Handle (485) - frame does not have 'dm lost frames' property.
2023-03-31T12:52:22.024694Z WARNING - Handle (485) - frame does not have 'dm lost frames' property.
2023-03-31T12:52:22.064988Z WARNING - Handle (485) - frame does not have 'dm lost frames' property.
2023-03-31T12:52:22.105103Z WARNING - Handle (485) - frame does not have 'dm lost frames' property.
2023-03-31T12:52:22.145279Z WARNING - Handle (485) - frame does not have 'dm lost frames' property.
2023-03-31T12:52:22.185896Z WARNING - Handle (485) - frame does not have 'dm lost frames' property.
2023-03-31T12:52:22.225991Z WARNING - Handle (485) - frame does not have 'dm lost frames' property.
2023-03-31T12:52:22.266449Z WARNING - Handle (485) - frame does not have 'dm lost frames' property.
2023-03-31T12:52:22.306866Z WARNING - Handle (485) - frame does not have 'dm lost frames' property.
2023-03-31T12:52:22.347028Z WARNING - Handle (485) - frame does not have 'dm lost frames' property.
2023-03-31T12:52:22.387284Z WARNING - Handle (485) - frame does not have 'dm lost frames' property.
2023-03-31T12:52:22.427682Z WARNING - Handle (485) - frame does not have 'dm lost frames' property.
2023-03-31T12:52:22.467911Z WARNING - Handle (485) - frame does not have 'dm lost frames' property.
2023-03-31T12:52:22.508370Z WARNING - Handle (485) - frame does not have 'dm lost frames' property.
2023-03-31T12:52:22.548676Z WARNING - Handle (485) - frame does not have 'dm lost frames' property.
2023-03-31T12:52:22.588875Z WARNING - Handle (485) - frame does not have 'dm lost frames' property.
2023-03-31T12:52:22.629238Z WARNING - Handle (485) - frame does not have 'dm lost frames' property.
2023-03-31T12:52:22.669543Z WARNING - Handle (485) - frame does not have 'dm lost frames' property.
